end_time,duration_hours,rainfall_in_mm
2021-03-27 09:00:00,24,55.8
2021-04-23 09:00:00,24,54.7
2021-04-30 09:00:00,24,0.0
2021-05-02 09:00:00,24,7.6
2021-05-04 09:00:00,24,30.8
2021-05-05 09:00:00,24,10.4
2021-05-06 09:00:00,24,4.4
2021-05-07 09:00:00,24,41.8
2021-05-08 09:00:00,24,16.6
2021-05-09 09:00:00,24,36.3
2021-05-10 09:00:00,24,44.1
2021-05-12 09:00:00,24,10.9
2021-05-14 06:00:00,21,166.6
2021-05-14 09:00:00,24,167.0
2021-05-14 15:00:00,6,0.0
2021-05-14 18:00:00,6,0.4
2021-05-14 21:00:00,12,0.4
2021-05-15 03:00:00,18,32.0
2021-05-15 06:00:00,21,32.0
2021-05-15 09:00:00,24,32.7
2021-05-15 12:00:00,3,0.0
2021-05-15 18:00:00,9,0.0
2021-05-15 21:00:00,12,0.0
2021-05-16 00:00:00,15,0.0
2021-05-16 03:00:00,18,0.0
2021-05-16 06:00:00,21,0.0
2021-05-16 09:00:00,24,2.4
2021-05-16 18:00:00,9,0.0
2021-05-16 21:00:00,12,0.0
2021-05-17 03:00:00,18,0.0
2021-05-17 06:00:00,21,0.0
2021-05-17 09:00:00,24,0.0
2021-05-18 09:00:00,24,0.0
2021-05-24 09:00:00,24,34.0
2021-05-24 15:00:00,6,5.5
2021-05-24 18:00:00,9,13.9
2021-05-24 21:00:00,12,15.0
2021-05-25 00:00:00,15,15.0
2021-05-25 03:00:00,18,26.8
2021-05-25 06:00:00,21,32.2
2021-05-25 09:00:00,24,35.9
2021-05-25 12:00:00,3,3.8
2021-05-25 15:00:00,6,8.1
2021-05-25 18:00:00,9,9.9
2021-05-25 21:00:00,12,10.7
2021-05-26 00:00:00,15,11.5
2021-05-26 03:00:00,18,12.0
2021-05-26 06:00:00,21,12.0
2021-05-26 09:00:00,24,12.0
2021-05-26 12:00:00,3,4.6
2021-05-26 15:00:00,6,7.1
2021-05-27 09:00:00,24,22.1
2021-05-28 09:00:00,24,5.3
2021-05-29 09:00:00,24,2.5
2021-05-30 09:00:00,24,14.0
2021-05-31 09:00:00,24,0.0
2021-06-03 09:00:00,24,103.8
2021-06-03 15:00:00,6,56.8
2021-06-04 09:00:00,24,222.3
2021-06-04 12:00:00,3,0.4
2021-06-04 15:00:00,6,0.8
2021-06-04 18:00:00,9,1.8
2021-06-04 21:00:00,12,6.1
2021-06-05 03:00:00,18,18.8
2021-06-05 06:00:00,21,46.9
2021-06-05 12:00:00,3,1.3
2021-06-05 15:00:00,6,1.9
2021-06-05 18:00:00,9,2.6
2021-06-05 21:00:00,12,2.6
2021-06-06 06:00:00,21,4.1
2021-06-06 12:00:00,3,0.0
2021-06-06 15:00:00,6,0.0
2021-06-06 21:00:00,12,0.0
2021-06-07 00:00:00,12,0.0
2021-06-07 03:00:00,18,0.0
2021-06-07 09:00:00,24,0.0
2021-06-07 12:00:00,3,0.0
2021-06-07 15:00:00,6,0.0
2021-06-07 18:00:00,9,0.0
2021-06-07 21:00:00,12,1.1
2021-06-08 00:00:00,15,2.1
2021-06-08 06:00:00,18,16.7
2021-06-08 18:00:00,9,3.7
2021-06-09 03:00:00,18,20.8
2021-06-09 09:00:00,24,20.8
2021-06-09 12:00:00,3,0.0
2021-06-09 21:00:00,12,14.7
2021-06-10 03:00:00,18,14.7
2021-06-10 09:00:00,24,14.7
2021-06-14 09:00:00,24,50.4
2021-07-02 09:00:00,24,137.1
2021-07-10 04:00:00,19,43.8
2021-07-10 06:00:00,21,43.8
2021-07-10 09:00:00,24,43.8
2021-07-11 09:00:00,24,9.6
2021-07-12 09:00:00,24,2.1
2021-08-09 09:00:00,24,9.4
2021-08-13 09:00:00,24,4.4
2021-08-26 09:00:00,24,34.5
2021-08-27 09:00:00,24,55.9
2021-08-28 09:00:00,24,9.0
2021-09-05 09:00:00,24,30.7
2021-09-22 09:00:00,24,34.0
2021-09-25 09:00:00,24,3.2
2021-09-27 06:00:00,21,17.8
2021-09-27 09:00:00,24,22.2
2021-09-28 09:00:00,24,20.2
2021-10-02 09:00:00,24,83.4
2021-10-06 09:00:00,24,126.2
2021-10-07 09:00:00,24,0.0
2021-10-08 09:00:00,24,0.0
2021-10-21 09:00:00,24,27.3
2021-10-27 09:00:00,24,16.8
2021-11-01 09:00:00,24,59.9
2021-11-02 09:00:00,24,21.2
2021-11-03 09:00:00,24,55.7
2021-11-04 09:00:00,24,3.3
2021-11-05 09:00:00,24,7.3
2021-11-07 09:00:00,24,42.2
2021-11-08 12:00:00,3,11.6
2021-11-08 15:00:00,6,47.9
2021-11-08 18:00:00,9,66.8
2021-11-08 21:00:00,12,68.9
2021-11-09 00:00:00,15,70.6
2021-11-09 03:00:00,18,71.8
2021-11-09 06:00:00,21,73.7
2021-11-09 09:00:00,24,73.7
2021-11-09 12:00:00,3,0.0
2021-11-09 18:00:00,9,1.0
2021-11-10 00:00:00,15,6.1
2021-11-10 06:00:00,21,7.4
2021-11-10 09:00:00,24,7.7
2021-11-10 12:00:00,3,0.0
2021-11-10 15:00:00,6,0.0
2021-11-10 18:00:00,9,0.3
2021-11-11 06:00:00,21,0.3
2021-11-11 09:00:00,24,0.3
2021-11-11 12:00:00,3,0.0
2021-11-11 15:00:00,6,0.0
2021-11-12 09:00:00,24,14.3
2021-11-13 09:00:00,24,10.4
2021-11-14 09:00:00,24,0.0
2021-11-15 09:00:00,24,33.9
2021-11-16 09:00:00,24,42.1
2021-11-20 09:00:00,24,55.8
2021-11-25 09:00:00,24,67.8
2021-11-27 09:00:00,24,0.9
2021-11-28 09:00:00,24,62.9
2021-11-29 09:00:00,24,25.8
2021-11-30 09:00:00,24,0.0
2021-12-01 09:00:00,24,30.5
2021-12-02 09:00:00,24,0.0
2021-12-05 09:00:00,24,9.3
2021-12-07 09:00:00,24,1.6
2021-12-08 09:00:00,24,0.0
2021-12-19 09:00:00,24,32.3
2021-12-20 09:00:00,24,0.0
2022-01-10 09:00:00,24,144.7
2022-01-13 09:00:00,24,0.0
2022-02-13 09:00:00,24,70.2
2022-04-09 09:00:00,24,46.9
2022-04-10 09:00:00,24,9.5
2022-04-11 09:00:00,24,14.8
2022-04-16 09:00:00,24,0.0
2022-04-24 09:00:00,24,0.0
2022-05-05 09:00:00,24,29.0
2022-05-06 09:00:00,24,17.8
2022-05-07 09:00:00,24,0.0
2022-05-11 09:00:00,24,10.2
2022-05-12 09:00:00,24,23.3
2022-05-13 09:00:00,24,95.2
2022-05-14 09:00:00,24,66.8
2022-05-14 12:00:00,3,13.7
