recorded_at,unit,water_level
2021-03-27 08:00:00,m,
2021-03-27 09:00:00,m,
2021-04-23 08:00:00,m,
2021-04-23 09:00:00,m,
2021-04-30 08:00:00,m,
2021-04-30 09:00:00,m,
2021-05-02 08:00:00,m,
2021-05-02 09:00:00,m,
2021-05-04 08:00:00,m,
2021-05-04 09:00:00,m,
2021-05-05 08:00:00,m,
2021-05-05 09:00:00,m,
2021-05-06 08:00:00,m,
2021-05-06 09:00:00,m,
2021-05-07 08:00:00,m,
2021-05-07 09:00:00,m,
2021-05-08 08:00:00,m,
2021-05-08 09:00:00,m,
2021-05-09 08:00:00,m,
2021-05-09 09:00:00,m,
2021-05-10 08:00:00,m,
2021-05-10 09:00:00,m,
2021-05-12 08:00:00,m,
2021-05-12 09:00:00,m,
2021-05-14 08:00:00,m,
2021-05-14 09:00:00,m,
2021-05-15 08:00:00,m,
2021-05-15 09:00:00,m,
2021-05-16 08:00:00,m,
2021-05-16 09:00:00,m,
2021-05-17 08:00:00,m,
2021-05-17 09:00:00,m,
2021-05-18 08:00:00,m,
2021-05-18 09:00:00,m,
2021-05-24 08:00:00,m,
2021-05-24 09:00:00,m,
2021-05-24 14:00:00,m,
2021-05-24 15:00:00,m,
2021-05-25 08:00:00,m,
2021-05-25 09:00:00,m,
2021-05-26 08:00:00,m,
2021-05-26 09:00:00,m,
2021-05-27 08:00:00,m,
2021-05-27 09:00:00,m,
2021-05-28 08:00:00,m,
2021-05-28 09:00:00,m,
2021-05-29 08:00:00,m,
2021-05-29 09:00:00,m,
2021-05-30 08:00:00,m,
2021-05-30 09:00:00,m,
2021-05-31 08:00:00,m,
2021-05-31 09:00:00,m,
2021-06-03 08:00:00,m,
2021-06-03 09:00:00,m,
2021-06-04 08:00:00,m,
2021-06-04 09:00:00,m,
2021-06-04 23:00:00,m,
2021-06-05 00:00:00,m,
2021-06-05 05:00:00,m,
2021-06-05 06:00:00,m,
2021-06-06 08:00:00,m,
2021-06-06 09:00:00,m,
2021-06-07 08:00:00,m,
2021-06-07 09:00:00,m,
2021-06-08 08:00:00,m,
2021-06-08 09:00:00,m,
2021-06-09 08:00:00,m,
2021-06-09 09:00:00,m,
2021-06-10 08:00:00,m,
2021-06-10 09:00:00,m,
2021-06-14 08:00:00,m,
2021-06-14 09:00:00,m,
2021-07-02 08:00:00,m,0.7
2021-07-02 09:00:00,m,0.71
2021-07-10 08:00:00,m,
2021-07-10 09:00:00,m,
2021-07-11 08:00:00,m,
2021-07-11 09:00:00,m,
2021-07-12 08:00:00,m,
2021-07-12 09:00:00,m,
2021-08-09 08:00:00,m,
2021-08-09 09:00:00,m,
2021-08-13 08:00:00,m,
2021-08-13 09:00:00,m,
2021-08-26 08:00:00,m,
2021-08-26 09:00:00,m,
2021-08-27 08:00:00,m,
2021-08-27 09:00:00,m,
2021-08-28 08:00:00,m,
2021-08-28 09:00:00,m,
2021-09-05 08:00:00,m,
2021-09-05 09:00:00,m,
2021-09-22 08:00:00,m,
2021-09-22 09:00:00,m,
2021-09-27 05:00:00,m,
2021-09-27 06:00:00,m,
2021-09-27 08:00:00,m,
2021-09-27 09:00:00,m,
2021-09-28 08:00:00,m,
2021-09-28 09:00:00,m,
2021-10-02 08:00:00,m,
2021-10-02 09:00:00,m,
2021-10-06 08:00:00,m,
2021-10-06 09:00:00,m,
2021-10-21 08:00:00,m,
2021-10-21 09:00:00,m,
2021-10-27 08:00:00,m,
2021-10-27 09:00:00,m,
2021-11-01 08:00:00,m,0.95
2021-11-01 09:00:00,m,0.99
2021-11-02 08:00:00,m,1.17
2021-11-02 09:00:00,m,1.17
2021-11-03 08:00:00,m,0.31
2021-11-03 09:00:00,m,0.33
2021-11-04 08:00:00,m,2.24
2021-11-04 09:00:00,m,2.31
2021-11-05 08:00:00,m,1.05
2021-11-05 09:00:00,m,1.03
2021-11-07 08:00:00,m,0.47
2021-11-07 09:00:00,m,0.49
2021-11-09 08:00:00,m,0.98
2021-11-09 09:00:00,m,1.07
2021-11-10 08:00:00,m,1.5
2021-11-10 09:00:00,m,1.49
2021-11-11 08:00:00,m,1.08
2021-11-11 09:00:00,m,1.09
2021-11-12 08:00:00,m,0.59
2021-11-12 09:00:00,m,0.63
2021-11-13 08:00:00,m,0.79
2021-11-13 09:00:00,m,0.91
2021-11-14 08:00:00,m,0.53
2021-11-14 09:00:00,m,0.5
2021-11-15 08:00:00,m,0.11
2021-11-15 09:00:00,m,0.06
2021-11-16 08:00:00,m,0.17
2021-11-16 09:00:00,m,0.15
2021-11-20 08:00:00,m,
2021-11-20 09:00:00,m,
2021-11-25 08:00:00,m,1.73
2021-11-25 09:00:00,m,1.72
2021-11-27 08:00:00,m,0.44
